Name,Number,Type 1,Type 2,HP,Attack,Defense,SP Attack,SP Defense,Speed,Total
Bulbasaur,001,Grass,Poison,45,49,49,65,65,45,318
Charizard,006,Fire,Flying,78,84,78,109,85,100,534
Charmeleon,005,Fire,,58,64,58,80,65,80,405
Metapod,011,Bug,,50,20,55,25,25,30,205
Caterpie,010,Bug,,45,30,35,20,20,45,195
Blastoise,009,Water,,79,83,100,85,105,78,530
Squirtle,007,Water,,44,48,65,50,64,43,314
Wartortle,008,Water,,59,63,80,65,80,58,405
Weedle,013,Bug,Poison,40,35,30,20,20,50,195
Butterfree,012,Bug,Flying,60,45,50,90,80,70,395
Charmander,004,Fire,,39,52,43,60,50,65,309
Venusaur,003,Grass,Poison,80,82,83,100,100,80,525
Ivysaur,002,Grass,Poison,60,62,63,80,80,60,405
Ekans,023,Poison,,35,60,44,40,54,55,288
Fearow,022,Normal,Flying,65,90,65,61,61,100,442
Raticate,020,Normal,,55,81,60,50,70,97,413
Geodude,074,Rock,Ground,40,80,100,30,30,20,300
Spearow,021,Normal,Flying,40,60,30,31,31,70,262
Azumarill,184,Water,Fairy,100,50,80,60,80,50,420
Marill,183,Water,Fairy,70,20,50,20,50,40,250
Sudowoodo,185,Rock,,70,100,115,30,65,30,410
Unown,201,Psychic,,48,72,48,72,48,48,336
Misdreavus,200,Ghost,,60,60,60,85,85,85,435
Slowking,199,Water,Psychic,95,75,80,100,110,30,490
Murkrow,198,Dark,Flying,60,85,42,85,42,91,405
Umbreon,197,Dark,,95,65,110,60,130,65,525
Scizor,212,Bug,Steel,70,130,100,55,80,65,500
Qwilfish,211,Water,Poison,65,95,85,55,55,85,440
Houndour,228,Dark,Fire,45,60,30,80,50,65,330
Skarmory,227,Steel,Flying,65,80,140,40,70,70,465
Mantine,226,Water,Flying,85,40,70,80,140,70,485
Delibird,225,Ice,Flying,45,55,45,65,45,75,330
Granbull,210,Fairy,,90,120,75,60,60,45,450
Raikou,243,Electric,,90,85,75,115,100,115,580
Blissey,242,Normal,,255,10,10,75,135,55,540
Miltank,241,Normal,,95,80,105,40,70,100,490
Blaziken,257,Fire,Fighting,80,120,70,110,70,80,530
Combusken,256,Fire,Fighting,60,85,60,85,60,55,405
Torchic,255,Fire,,45,60,40,70,50,45,310
Sceptile,254,Grass,,70,85,65,105,85,120,530
Grovyle,253,Grass,,50,65,45,85,65,95,405
Lombre,271,Water,Grass,60,50,50,60,70,50,340
Lotad,270,Water,Grass,40,30,30,40,50,30,220
Dustox,269,Bug,Poison,60,50,70,50,90,65,385
Slaking,289,Normal,,150,160,100,95,65,100,670
Vigoroth,288,Normal,,80,80,80,55,55,90,440
Slakoth,287,Normal,,60,60,60,35,35,30,280
Breloom,286,Grass,Fighting,60,130,80,60,60,70,460
Delcatty,301,Normal,,70,65,65,55,55,90,400
Skitty,300,Normal,,50,45,45,35,35,50,260
Nosepass,299,Rock,,30,45,135,45,90,30,375
Azurill,298,Normal,Fairy,50,20,40,20,40,20,190
Illumise,314,Bug,,65,47,75,73,85,85,430
Volbeat,313,Bug,,65,73,75,47,85,85,430
Minun,312,Electric,,60,40,50,75,85,95,405
Plusle,311,Electric,,60,50,40,85,75,95,405
Flygon,330,Ground,Dragon,80,100,80,80,80,100,520
Vibrava,329,Ground,Dragon,50,70,50,50,50,70,340
Claydol,344,Ground,Psychic,60,70,105,70,120,75,500
Baltoy,343,Ground,Psychic,40,40,55,40,70,55,300
Trapinch,328,Ground,,45,100,45,45,45,10,290
Spinda,327,Normal,,60,60,60,60,60,60,360
Crawdaunt,342,Water,Dark,63,120,85,90,55,55,468
Corphish,341,Water,,43,80,65,50,35,35,308
Wynaut,360,Psychic,,95,23,48,23,48,23,260
Absol,359,Dark,,65,130,60,75,60,75,465
Chimecho,358,Psychic,,75,50,80,95,90,65,455
Tropius,357,Grass,Flying,99,68,83,72,87,51,460
Regice,378,Ice,,80,50,100,100,200,50,580
Regirock,377,Rock,,80,100,200,50,100,50,580
Metagross,376,Steel,Psychic,80,135,130,95,90,70,600
Metang,375,Steel,Psychic,60,75,100,55,80,50,420
Monferno,391,Fire,Fighting,64,78,52,78,52,81,405
Chimchar,390,Fire,,44,58,44,58,44,61,309
Rampardos,409,Rock,,97,165,60,65,50,58,495
Cranidos,408,Rock,,67,125,40,30,30,58,350
Roserade,407,Grass,Poison,60,70,65,125,105,90,515
Budew,406,Grass,Poison,40,30,35,50,70,55,280
Luxray,405,Electric,,80,120,79,95,79,70,523
Gastrodon,423,Water,Ground,111,83,68,92,82,39,475
Shellos,422,Water,,76,48,48,57,62,34,325
Luxio,404,Electric,,60,85,49,60,49,60,363
Munchlax,446,Normal,,135,85,40,40,85,5,390
Garchomp,445,Dragon,Ground,108,130,95,80,85,102,600
Gible,443,Dragon,Ground,58,70,45,40,45,42,300
Spiritomb,442,Ghost,Dark,50,92,108,92,108,35,485
Chatot,441,Normal,Flying,76,65,45,92,42,91,411
Tangrowth,465,Grass,,100,100,125,110,50,50,535
Rhyperior,464,Ground,Rock,115,140,130,55,55,40,535
Regigigas,486,Normal,,110,160,110,80,110,100,670
Heatran,485,Fire,Steel,91,90,106,130,106,77,600
Gabite,444,Dragon,Ground,68,90,65,50,55,82,410
Palkia,484,Water,Dragon,90,120,100,150,120,100,680
Dialga,483,Steel,Dragon,100,120,120,150,100,90,680
Azelf,482,Psychic,,75,125,70,125,70,115,580
Dewott,502,Water,,75,75,60,83,60,60,413
Oshawott,501,Water,,55,55,45,63,45,45,308
Emboar,500,Fire,Fighting,110,123,65,100,65,65,528
Panpour,515,Water,,50,53,48,53,48,64,316
Simisear,514,Fire,,75,98,63,98,63,101,498
Pansear,513,Fire,,50,53,48,53,48,64,316
Simisage,512,Grass,,75,98,63,98,63,101,498
Audino,531,Normal,,103,60,86,60,86,50,445
Excadrill,530,Ground,Steel,110,135,60,50,65,88,508
Drilbur,529,Ground,,60,85,40,30,45,68,328
Sawk,539,Fighting,,75,125,75,30,75,85,465
Throh,538,Fighting,,120,100,85,30,85,45,465
Seismitoad,537,Water,Ground,105,95,75,85,75,74,509
Palpitoad,536,Water,Ground,75,65,55,65,55,69,384
Tympole,535,Water,,50,50,40,50,40,64,294
Darmanitan,555,Fire,,105,140,55,30,55,95,480
Darumaka,554,Fire,,70,90,45,15,45,50,315
Krookodile,553,Ground,Dark,95,117,80,65,70,92,519
Zorua,570,Dark,,40,65,40,80,40,65,330
Garbodor,569,Poison,,80,95,82,60,82,75,474
Trubbish,568,Poison,,50,50,62,40,62,65,329
Archeops,567,Rock,Flying,75,140,65,112,65,110,567
Archen,566,Rock,Flying,55,112,45,74,45,70,401
Deerling,585,Normal,Grass,60,60,50,40,50,75,335
Vanilluxe,584,Ice,,71,95,85,110,95,79,535
Vanillish,583,Ice,,51,65,65,80,75,59,395
Klink,599,Steel,,40,55,70,45,60,30,300
Ferrothorn,598,Grass,Steel,74,94,131,54,116,20,489
Ferroseed,597,Grass,Steel,44,50,91,24,86,10,305
Galvantula,596,Bug,Electric,70,77,60,97,60,108,472
Joltik,595,Bug,Electric,50,47,50,57,50,65,319
Golett,622,Ground,Ghost,59,74,50,35,50,35,303
Druddigon,621,Dragon,,77,120,90,60,90,48,485
Mienshao,620,Fighting,,65,125,60,95,60,105,510
Cobalion,638,Steel,Fighting,91,90,129,90,72,108,580
Volcarona,637,Bug,Fire,85,60,65,135,105,100,550
Larvesta,636,Bug,Fire,55,85,55,50,55,60,360
Hydreigon,635,Dark,Dragon,92,105,90,125,90,98,600
Zweilous,634,Dark,Dragon,72,85,70,65,70,58,420
Diggersby,660,Normal,Ground,85,56,77,50,77,78,423
Bunnelby,659,Normal,,38,36,38,32,36,57,237
Greninja,658,Water,Dark,72,95,67,103,71,122,530
Slurpuff,685,Fairy,,82,80,86,85,75,72,480
Swirlix,684,Fairy,,62,48,66,59,57,49,341
Aromatisse,683,Fairy,,101,72,72,99,89,29,462
Spritzee,682,Fairy,,78,52,60,63,65,23,341
Aegislash,681,Steel,Ghost,60,50,140,50,140,60,500
Pumpkaboo,710,Ghost,Grass,49,66,70,44,55,51,335
Trevenant,709,Ghost,Grass,85,110,76,65,82,56,474
Phantump,708,Ghost,Grass,43,70,48,50,60,38,309
Vikavolt,738,Bug,Electric,77,70,90,145,75,43,500
Charjabug,737,Bug,Electric,57,82,95,55,75,36,400
Grubbin,736,Bug,,47,62,45,55,45,46,300
Gumshoos,735,Normal,,88,110,60,55,60,45,418
Yungoos,734,Normal,,48,70,30,30,30,45,253
Tsareena,763,Grass,,72,120,98,50,98,72,510
Steenee,762,Grass,,52,40,48,40,48,62,290
Bounsweet,761,Grass,,42,30,38,30,38,32,210
Tapu Lele,786,Psychic,Fairy,70,85,75,130,115,95,570
Kommo-o,784,Dragon,Fighting,75,110,125,100,105,85,600
Hakamo-o,783,Dragon,Fighting,55,75,90,65,70,65,420
Jangmo-o,782,Dragon,,45,55,65,45,45,45,300
Melmetal,809,Steel,,135,143,143,80,65,34,600
Tapu Koko,785,Electric,Fairy,70,115,85,95,75,130,570
Meltan,808,Steel,,46,65,65,55,35,34,300
Zeraora,807,Electric,,88,112,75,102,80,143,600
Nickit,827,Dark,,40,28,28,47,52,50,245
Orbeetle,826,Bug,Psychic,60,45,110,80,120,90,505
Dottler,825,Bug,Psychic,50,35,80,50,90,30,335
Blipbug,824,Bug,,25,20,20,25,45,45,180
Corviknight,823,Flying,Steel,98,87,105,53,85,67,495
Sandaconda,844,Ground,,72,107,125,65,70,71,510
Silicobra,843,Ground,,52,57,75,35,50,46,315
Appletun,842,Grass,Dragon,110,85,80,100,80,30,485
Pincurchin,871,Electric,,48,101,95,91,85,15,435
Falinks,870,Fighting,,65,100,100,70,60,75,470
Alcremie,869,Fairy,,65,60,75,110,121,64,495
Milcery,868,Fairy,,45,40,40,50,61,34,270
Morpeko,877,Electric,Dark,58,95,58,70,58,97,436
Indeedee,876,Psychic,Normal,60,65,55,105,95,95,475
Eiscue,875,Ice,,75,80,110,65,90,50,470
Stonjourner,874,Rock,,100,125,135,20,20,70,470
Regidrago,895,Dragon,,200,100,50,100,50,80,580
Zarude,893,Dark,Grass,105,120,105,70,95,105,600
Urshifu,892,Fighting,Dark,100,130,100,63,60,97,550
Enamorus,905,Fairy,Flying,74,115,70,135,80,106,580
Overqwil,904,Dark,Poison,85,115,95,65,65,85,510
Sneasler,903,Poison,Fighting,80,130,60,40,80,120,510
Regieleki,894,Electric,,80,100,50,100,50,200,580
Basculegion,902,Water,Ghost,120,112,65,80,75,78,530
Kleavor,900,Bug,Rock,70,135,95,45,70,85,500
Wyrdeer,899,Normal,Psychic,103,105,72,105,75,65,525
Glastrier,896,Ice,,100,145,130,65,110,30,580
Eternatus,890,Poison,Dragon,140,85,95,145,95,130,690
Calyrex,898,Psychic,Grass,100,80,80,80,80,80,500
Spectrier,897,Ghost,,100,65,60,145,80,130,580
Kubfu,891,Fighting,,60,90,60,53,50,72,385
Ursaluna,901,Normal,Ground,130,140,105,45,80,50,550
Zamazenta,889,Fighting,Steel,92,130,145,80,145,128,720
Zacian,888,Fairy,Steel,92,170,115,80,115,148,720
Duraludon,884,Steel,Dragon,70,95,115,120,50,85,535
Dracovish,882,Water,Dragon,90,90,100,70,80,75,505
Dragapult,887,Dragon,Ghost,88,120,75,100,75,142,600
Arctovish,883,Water,Ice,90,90,100,80,90,55,505
Drakloak,886,Dragon,Ghost,68,80,50,60,50,102,410
Dreepy,885,Dragon,Ghost,28,60,30,40,30,82,270
Copperajah,879,Steel,,122,130,69,80,69,30,500
Arctozolt,881,Electric,Ice,90,100,90,90,80,55,505
Dracozolt,880,Electric,Dragon,90,100,90,80,70,75,505
Cufant,878,Steel,,72,80,49,40,49,40,330
Frosmoth,873,Ice,Bug,70,65,60,125,90,65,475
Snom,872,Ice,Bug,30,25,35,45,30,20,185
Runerigus,867,Ground,Ghost,58,95,145,50,105,30,483
Mr. Rime,866,Ice,Psychic,80,85,75,110,100,70,520
Sirfetch'd,865,Fighting,,62,135,95,68,82,65,507
Cursola,864,Ghost,,60,95,50,145,130,30,510
Perrserker,863,Steel,,70,110,100,50,60,50,440
Obstagoon,862,Dark,Normal,93,90,101,60,81,95,520
Grimmsnarl,861,Dark,Fairy,95,120,65,95,75,60,510
Morgrem,860,Dark,Fairy,65,60,45,75,55,70,370
Impidimp,859,Dark,Fairy,45,45,30,55,40,50,265
Hatterene,858,Psychic,Fairy,57,90,95,136,103,29,510
Hattrem,857,Psychic,,57,40,65,86,73,49,370
Hatenna,856,Psychic,,42,30,45,56,53,39,265
Polteageist,855,Ghost,,60,65,65,134,114,70,508
Sinistea,854,Ghost,,40,45,45,74,54,50,308
Grapploct,853,Fighting,,80,118,90,70,80,42,480
Clobbopus,852,Fighting,,50,68,60,50,50,32,310
Centiskorch,851,Fire,Bug,100,115,65,90,90,65,525
Sizzlipede,850,Fire,Bug,50,65,45,50,50,45,305
Toxtricity,849,Electric,Poison,75,98,70,114,70,75,502
Toxel,848,Electric,Poison,40,38,35,54,35,40,242
Barraskewda,847,Water,,61,123,60,60,50,136,490
Arrokuda,846,Water,,41,63,40,40,30,66,280
Cramorant,845,Flying,Water,70,85,55,85,95,85,475
Flapple,841,Grass,Dragon,70,110,80,95,60,70,485
Coalossal,839,Rock,Fire,110,80,120,80,90,30,510
Carkol,838,Rock,Fire,80,60,90,60,70,50,410
Rolycoly,837,Rock,,30,40,50,40,50,30,240
Boltund,836,Electric,,69,90,60,90,60,121,490
Applin,840,Grass,Dragon,40,40,80,40,40,20,260
Yamper,835,Electric,,59,45,50,40,50,26,270
Drednaw,834,Water,Rock,90,115,90,48,68,74,485
Chewtle,833,Water,,50,64,50,38,38,44,284
Dubwool,832,Normal,,72,80,100,60,90,88,490
Wooloo,831,Normal,,42,40,55,40,45,48,270
Eldegoss,830,Grass,,60,50,90,80,120,60,460
Gossifleur,829,Grass,,40,40,60,40,60,10,250
Thievul,828,Dark,,70,58,58,87,92,90,455
Corvisquire,822,Flying,,68,67,55,43,55,77,365
Rookidee,821,Flying,,38,47,35,33,35,57,245
Greedent,820,Normal,,120,95,95,55,75,20,460
Skwovet,819,Normal,,70,55,55,35,35,25,275
Inteleon,818,Water,,70,85,65,125,65,120,530
Drizzile,817,Water,,65,60,55,95,55,90,420
Sobble,816,Water,,50,40,40,70,40,70,310
Cinderace,815,Fire,,80,116,75,65,75,119,530
Raboot,814,Fire,,65,86,60,55,60,94,420
Scorbunny,813,Fire,,50,71,40,40,40,69,310
Rillaboom,812,Grass,,100,125,90,60,70,85,530
Thwackey,811,Grass,,70,85,70,55,60,80,420
Grookey,810,Grass,,50,65,50,40,40,65,310
Blacephalon,806,Fire,Ghost,53,127,53,151,79,107,570
Stakataka,805,Rock,Steel,61,131,211,53,101,13,570
Naganadel,804,Poison,Dragon,73,73,73,127,73,121,540
Poipole,803,Poison,,67,73,67,73,67,73,420
Marshadow,802,Fighting,Ghost,90,125,80,90,90,125,600
Necrozma,800,Psychic,,97,107,101,127,89,79,600
Guzzlord,799,Dark,Dragon,223,101,53,97,53,43,570
Magearna,801,Steel,Fairy,80,95,115,130,115,65,600
Kartana,798,Grass,Steel,59,181,131,59,31,109,570
Celesteela,797,Steel,Flying,97,101,103,107,101,61,570
Pheromosa,795,Bug,Fighting,71,137,37,137,37,151,570
Buzzwole,794,Bug,Fighting,107,139,139,53,53,79,570
Xurkitree,796,Electric,,83,89,71,173,71,83,570
Nihilego,793,Rock,Poison,109,53,47,127,131,103,570
Lunala,792,Psychic,Ghost,137,113,89,137,107,97,680
Solgaleo,791,Psychic,Steel,137,137,107,113,89,97,680
Cosmoem,790,Psychic,,43,29,131,29,131,37,400
Cosmog,789,Psychic,,43,29,31,29,31,37,200
Tapu Fini,788,Water,Fairy,70,75,115,95,130,85,570
Tapu Bulu,787,Grass,Fairy,70,130,115,85,95,75,570
Dhelmise,781,Ghost,Grass,70,131,100,86,90,40,517
Drampa,780,Normal,Dragon,78,60,85,135,91,36,485
Bruxish,779,Water,Psychic,68,105,70,70,70,92,475
Mimikyu,778,Ghost,Fairy,55,90,80,50,105,96,476
Togedemaru,777,Electric,Steel,65,98,63,40,73,96,435
Turtonator,776,Fire,Dragon,60,78,135,91,85,36,485
Komala,775,Normal,,65,115,65,75,95,65,480
Minior,774,Rock,Flying,60,60,100,60,100,60,440
Silvally,773,Normal,,95,95,95,95,95,95,570
Type: Null,772,Normal,,95,95,95,95,95,59,534
Pyukumuku,771,Water,,55,60,130,30,130,5,410
Palossand,770,Ghost,Ground,85,75,110,100,75,35,480
Sandygast,769,Ghost,Ground,55,55,80,70,45,15,320
Golisopod,768,Bug,Water,75,125,140,60,90,40,530
Wimpod,767,Bug,Water,25,35,40,20,30,80,230
Passimian,766,Fighting,,100,120,90,40,60,80,490
Oranguru,765,Normal,Psychic,90,60,80,90,110,60,490
Comfey,764,Fairy,,51,52,90,82,110,100,485
Bewear,760,Normal,Fighting,120,125,80,55,60,60,500
Stufful,759,Normal,Fighting,70,75,50,45,50,50,340
Salazzle,758,Poison,Fire,68,64,60,111,60,117,480
Salandit,757,Poison,Fire,48,44,40,71,40,77,320
Shiinotic,756,Grass,Fairy,60,45,80,90,100,30,405
Morelull,755,Grass,Fairy,40,35,55,65,75,15,285
Lurantis,754,Grass,,70,105,90,80,90,45,480
Fomantis,753,Grass,,40,55,35,50,35,35,250
Araquanid,752,Water,Bug,68,70,92,50,132,42,454
Dewpider,751,Water,Bug,38,40,52,40,72,27,269
Mudsdale,750,Ground,,100,125,100,55,85,35,500
Mudbray,749,Ground,,70,100,70,45,55,45,385
Toxapex,748,Poison,Water,50,63,152,53,142,35,495
Mareanie,747,Poison,Water,50,53,62,43,52,45,305
Wishiwashi,746,Water,,45,20,20,25,25,40,175
Lycanroc,745,Rock,,75,115,65,55,65,112,487
Rockruff,744,Rock,,45,65,40,30,40,60,280
Ribombee,743,Bug,Fairy,60,55,60,95,70,124,464
Cutiefly,742,Bug,Fairy,40,45,40,55,40,84,304
Oricorio,741,Fire,Flying,75,70,70,98,70,93,476
Crabominable,740,Fighting,Ice,97,132,77,62,67,43,478
Crabrawler,739,Fighting,,47,82,57,42,47,63,338
Toucannon,733,Normal,Flying,80,120,75,75,75,60,485
Trumbeak,732,Normal,Flying,55,85,50,40,50,75,355
Pikipek,731,Normal,Flying,35,75,30,30,30,65,265
Primarina,730,Water,Fairy,80,74,74,126,116,60,530
Brionne,729,Water,,60,69,69,91,81,50,420
Popplio,728,Water,,50,54,54,66,56,40,320
Litten,725,Fire,,45,65,40,60,40,70,320
Decidueye,724,Grass,Ghost,78,107,75,100,100,70,530
Incineroar,727,Fire,Dark,95,115,90,80,90,60,530
Dartrix,723,Grass,Flying,78,75,75,70,70,52,420
Torracat,726,Fire,,65,85,50,80,50,90,420
Rowlet,722,Grass,Flying,68,55,55,50,50,42,320
Volcanion,721,Fire,Water,80,110,120,130,90,70,600
Hoopa,720,Psychic,Ghost,80,110,60,150,130,70,600
Diancie,719,Rock,Fairy,50,100,150,100,150,50,600
Zygarde,718,Dragon,Ground,108,100,121,81,95,95,600
Yveltal,717,Dark,Flying,126,131,95,131,98,99,680
Xerneas,716,Fairy,,126,131,95,131,98,99,680
Noibat,714,Flying,Dragon,40,30,35,45,40,55,245
Avalugg,713,Ice,,95,117,184,44,46,28,514
Bergmite,712,Ice,,55,69,85,32,35,28,304
Noivern,715,Flying,Dragon,85,70,80,97,80,123,535
Gourgeist,711,Ghost,Grass,65,90,122,58,75,84,494
Klefki,707,Steel,Fairy,57,80,91,80,87,75,470
Goodra,706,Dragon,,90,100,70,110,150,80,600
Sliggoo,705,Dragon,,68,75,53,83,113,60,452
Goomy,704,Dragon,,45,50,35,55,75,40,300
Carbink,703,Rock,Fairy,50,50,150,50,150,50,500
Dedenne,702,Electric,Fairy,67,58,57,81,67,101,431
Aurorus,699,Rock,Ice,123,77,72,99,92,58,521
Tyrantrum,697,Rock,Dragon,82,121,119,69,59,71,521
Hawlucha,701,Fighting,Flying,78,92,75,74,63,118,500
Tyrunt,696,Rock,Dragon,58,89,77,45,45,48,362
Sylveon,700,Fairy,,95,65,65,110,130,60,525
Amaura,698,Rock,Ice,77,59,50,67,63,46,362
Heliolisk,695,Electric,Normal,62,55,52,109,94,109,481
Helioptile,694,Electric,Normal,44,38,33,61,43,70,289
Clawitzer,693,Water,,71,73,88,120,89,59,500
Clauncher,692,Water,,50,53,62,58,63,44,330
Dragalge,691,Poison,Dragon,65,75,90,97,123,44,494
Skrelp,690,Poison,Water,50,60,60,60,60,30,320
Barbaracle,689,Rock,Water,72,105,115,54,86,68,500
Binacle,688,Rock,Water,42,52,67,39,56,50,306
Malamar,687,Dark,Psychic,86,92,88,68,75,73,482
Inkay,686,Dark,Psychic,53,54,53,37,46,45,288
Doublade,680,Steel,Ghost,59,110,150,45,49,35,448
Honedge,679,Steel,Ghost,45,80,100,35,37,28,325
Meowstic,678,Psychic,,74,48,76,83,81,104,466
Espurr,677,Psychic,,62,48,54,63,60,68,355
Furfrou,676,Normal,,75,80,60,65,90,102,472
Pangoro,675,Fighting,Dark,95,124,78,69,71,58,495
Pancham,674,Fighting,,67,82,62,46,48,43,348
Gogoat,673,Grass,,123,100,62,97,81,68,531
Skiddo,672,Grass,,66,65,48,62,57,52,350
Florges,671,Fairy,,78,65,68,112,154,75,552
Floette,670,Fairy,,54,45,47,75,98,52,371
Flabébé,669,Fairy,,44,38,39,61,79,42,303
Pyroar,668,Fire,Normal,86,68,72,109,66,106,507
Litleo,667,Fire,Normal,62,50,58,73,54,72,369
Vivillon,666,Bug,Flying,80,52,50,90,50,89,411
Spewpa,665,Bug,,45,22,60,27,30,29,213
Scatterbug,664,Bug,,38,35,40,27,25,35,200
Talonflame,663,Fire,Flying,78,81,71,74,69,126,499
Fletchinder,662,Fire,Flying,62,73,55,56,52,84,382
Fletchling,661,Normal,Flying,45,50,43,40,38,62,278
Frogadier,657,Water,,54,63,52,83,56,97,405
Froakie,656,Water,,41,56,40,62,44,71,314
Braixen,654,Fire,,59,59,58,90,70,73,409
Fennekin,653,Fire,,40,45,40,62,60,60,307
Chesnaught,652,Grass,Fighting,88,107,122,74,75,64,530
Quilladin,651,Grass,,61,78,95,56,58,57,405
Chespin,650,Grass,,56,61,65,48,45,38,313
Genesect,649,Bug,Steel,71,120,95,120,95,99,600
Keldeo,647,Water,Fighting,91,72,90,129,90,108,580
Kyurem,646,Dragon,Ice,125,130,90,130,90,95,660
Meloetta,648,Normal,Psychic,100,77,77,128,128,90,600
Reshiram,643,Dragon,Fire,100,120,100,150,120,90,680
Thundurus,642,Electric,Flying,79,115,70,125,80,111,580
Zekrom,644,Dragon,Electric,100,150,120,120,100,90,680
Tornadus,641,Flying,,79,115,70,125,80,111,580
Virizion,640,Grass,Fighting,91,90,72,90,129,108,580
Terrakion,639,Rock,Fighting,91,129,90,72,90,108,580
Landorus,645,Ground,Flying,89,125,90,115,80,101,600
Deino,633,Dark,Dragon,52,65,50,45,50,38,300
Durant,632,Bug,Steel,58,109,112,48,48,109,484
Heatmor,631,Fire,,85,97,66,105,66,65,484
Delphox,655,Fire,Psychic,75,69,72,114,100,104,534
Mandibuzz,630,Dark,Flying,110,65,105,55,95,80,510
Vullaby,629,Dark,Flying,70,55,75,45,65,60,370
Braviary,628,Normal,Flying,100,123,75,57,75,80,510
Bouffalant,626,Normal,,95,110,95,40,95,55,490
Bisharp,625,Dark,Steel,65,125,100,60,70,70,490
Rufflet,627,Normal,Flying,70,83,50,37,50,60,350
Pawniard,624,Dark,Steel,45,85,70,40,40,60,340
Golurk,623,Ground,Ghost,89,124,80,55,80,55,483
Mienfoo,619,Fighting,,45,85,50,55,50,65,350
Stunfisk,618,Ground,Electric,109,66,84,81,99,32,471
Accelgor,617,Bug,,80,70,40,100,60,145,495
Shelmet,616,Bug,,50,40,85,40,65,25,305
Cryogonal,615,Ice,,80,50,50,95,135,105,515
Beartic,614,Ice,,95,130,80,70,80,50,505
Cubchoo,613,Ice,,55,70,40,60,40,40,305
Haxorus,612,Dragon,,76,147,90,60,70,97,540
Fraxure,611,Dragon,,66,117,70,40,50,67,410
Axew,610,Dragon,,46,87,60,30,40,57,320
Chandelure,609,Ghost,Fire,60,55,90,145,90,80,520
Lampent,608,Ghost,Fire,60,40,60,95,60,55,370
Litwick,607,Ghost,Fire,50,30,55,65,55,20,275
Beheeyem,606,Psychic,,75,75,75,125,95,40,485
Elgyem,605,Psychic,,55,55,55,85,55,30,335
Eelektross,604,Electric,,85,115,80,105,80,50,515
Eelektrik,603,Electric,,65,85,70,75,70,40,405
Tynamo,602,Electric,,35,55,40,45,40,60,275
Klinklang,601,Steel,,60,100,115,70,85,90,520
Klang,600,Steel,,60,80,95,70,85,50,440
Alomomola,594,Water,,165,75,80,40,45,65,470
Jellicent,593,Water,Ghost,100,60,70,85,105,60,480
Frillish,592,Water,Ghost,55,40,50,65,85,40,335
Amoonguss,591,Grass,Poison,114,85,70,85,80,30,464
Foongus,590,Grass,Poison,69,55,45,55,55,15,294
Escavalier,589,Bug,Steel,70,135,105,60,105,20,495
Karrablast,588,Bug,,50,75,45,40,45,60,315
Emolga,587,Electric,Flying,55,75,60,75,60,103,428
